id,label,type,band,catalogue_id
CAT-63,63 event,Catalogue,decision,EIG-CAT-063
CAT-64,64 workflow,Catalogue,decision,EIG-CAT-064
CAT-65,65 benchmark,Catalogue,rl_agents,EIG-CAT-065
CAT-66,66 reinforcement_learning,Catalogue,rl_agents,EIG-CAT-066
CAT-67,67 reward,Catalogue,rl_agents,EIG-CAT-067
CAT-68,68 penalty,Catalogue,rl_agents,EIG-CAT-068
CAT-69,69 context,Catalogue,rl_agents,EIG-CAT-069
CAT-70,70 model_selection,Catalogue,rl_agents,EIG-CAT-070
CAT-71,71 learning_policy,Catalogue,rl_agents,EIG-CAT-071
CAT-72,72 agent,Catalogue,rl_agents,EIG-CAT-072
CAT-73,73 application,Catalogue,applications,EIG-CAT-073
CAT-74,74 service,Catalogue,applications,EIG-CAT-074
CAT-75,75 dashboard,Catalogue,applications,EIG-CAT-075
CAT-76,76 alert,Catalogue,applications,EIG-CAT-076
CAT-77,77 report,Catalogue,applications,EIG-CAT-077
CAT-78,78 use_case,Catalogue,applications,EIG-CAT-078
CAT-79,79 ontology,Catalogue,semantics,EIG-CAT-079
CAT-80,80 knowledge_graph,Catalogue,semantics,EIG-CAT-080
CAT-81,81 semantic_mapping,Catalogue,semantics,EIG-CAT-081
CAT-82,82 vocabulary,Catalogue,semantics,EIG-CAT-082
CAT-83,83 taxonomy,Catalogue,semantics,EIG-CAT-083
CAT-84,84 reasoning_rule,Catalogue,semantics,EIG-CAT-084
CAT-85,85 semantic_pattern,Catalogue,semantics,EIG-CAT-085
CAT-86,86 community,Catalogue,governance,EIG-CAT-086
CAT-87,87 district,Catalogue,governance,EIG-CAT-087
CAT-88,88 site,Catalogue,governance,EIG-CAT-088
CAT-89,89 scenario,Catalogue,governance,EIG-CAT-089
CAT-90,90 project,Catalogue,governance,EIG-CAT-090
CAT-91,91 policy,Catalogue,governance,EIG-CAT-091
CAT-92,92 regulation,Catalogue,governance,EIG-CAT-092
CAT-93,93 compliance,Catalogue,governance,EIG-CAT-093
CAT-94,94 standard,Catalogue,governance,EIG-CAT-094
BAND-physical,physical,CatalogueBand,,
BAND-actors,actors,CatalogueBand,,
BAND-markets,markets,CatalogueBand,,
BAND-flexibility,flexibility,CatalogueBand,,
BAND-data,data,CatalogueBand,,
BAND-models,models,CatalogueBand,,
BAND-response_derivative,response_derivative,CatalogueBand,,
BAND-decision,decision,CatalogueBand,,
BAND-rl_agents,rl_agents,CatalogueBand,,
BAND-applications,applications,CatalogueBand,,
BAND-semantics,semantics,CatalogueBand,,
BAND-governance,governance,CatalogueBand,,
