source,predicate,target
W-Series,uses_formula_family,Formula-W
MLM,has_series,O-Series
O-Series,belongs_to_layer,Stochastic
O-Series,uses_dataset_family,DS-O
O-Series,uses_formula_family,Formula-O
MLM,has_series,M-Series
M-Series,belongs_to_layer,Stochastic
M-Series,uses_dataset_family,DS-E
M-Series,uses_dataset_family,DS-P
M-Series,uses_formula_family,Formula-M
MLM,has_series,L-Series
L-Series,belongs_to_layer,Deterministic
L-Series,uses_dataset_family,DS-E
L-Series,uses_formula_family,Formula-L
MLM,has_series,R-Series
R-Series,belongs_to_layer,Deterministic
R-Series,uses_dataset_family,DS-E
R-Series,uses_dataset_family,DS-F
R-Series,uses_formula_family,Formula-R
MLM,has_series,T-Series
T-Series,belongs_to_layer,Deterministic
T-Series,uses_dataset_family,DS-F
T-Series,uses_dataset_family,DS-E
T-Series,uses_formula_family,Formula-T
MLM,has_series,B-Series
B-Series,belongs_to_layer,AI_ML
B-Series,uses_dataset_family,DS-E
B-Series,uses_dataset_family,DS-A
B-Series,uses_formula_family,Formula-B
MLM,has_series,G-Series
G-Series,belongs_to_layer,Deterministic
G-Series,uses_dataset_family,DS-A
G-Series,uses_dataset_family,DS-E
G-Series,uses_formula_family,Formula-G
MLM,has_series,C-Series
C-Series,belongs_to_layer,RL_Q_Learning
C-Series,uses_dataset_family,DS-A
C-Series,uses_dataset_family,DS-P
C-Series,uses_formula_family,Formula-C
MLM,has_series,D-Series
D-Series,belongs_to_layer,AI_ML
D-Series,uses_dataset_family,DS-F
D-Series,uses_dataset_family,DS-E
D-Series,uses_dataset_family,DS-O
D-Series,uses_dataset_family,DS-A
D-Series,uses_formula_family,Formula-D
MLM,has_series,P-Series
P-Series,belongs_to_layer,RL_Q_Learning
P-Series,uses_dataset_family,DS-P
P-Series,uses_dataset_family,DS-E
P-Series,uses_formula_family,Formula-P
MLM,has_series,K-Series
K-Series,belongs_to_layer,RL_Q_Learning
K-Series,uses_dataset_family,DS-P
K-Series,uses_formula_family,Formula-K
MLM,has_series,F-Series
F-Series,belongs_to_layer,AI_ML
F-Series,uses_dataset_family,DS-A
F-Series,uses_formula_family,Formula-F
W-Series,has_model,W01
W01,belongs_to_layer,Stochastic
W01,uses_formula_family,Formula-W
W01,requires_dataset_family,DS-F
W01,feeds_into,R01
W01,feeds_into,T04
W01,feeds_into,W20
W01,contributes_rd,C08
W-Series,has_model,W02
W02,belongs_to_layer,Stochastic
W02,uses_formula_family,Formula-W
W02,requires_dataset_family,DS-F
W02,feeds_into,T01
W02,feeds_into,R01
W02,feeds_into,B08
W02,feeds_into,C03
W02,contributes_rd,C08
W-Series,has_model,W03
W03,belongs_to_layer,Stochastic
W03,uses_formula_family,Formula-W
W03,requires_dataset_family,DS-F
W-Series,has_model,W04
W04,belongs_to_layer,Stochastic
W04,uses_formula_family,Formula-W
W04,requires_dataset_family,DS-F
W-Series,has_model,W05
W05,belongs_to_layer,Stochastic
W05,uses_formula_family,Formula-W
W05,requires_dataset_family,DS-F
W05,feeds_into,W01
W05,feeds_into,W20
W-Series,has_model,W06
W06,belongs_to_layer,Stochastic
W06,uses_formula_family,Formula-W
W06,requires_dataset_family,DS-F
W-Series,has_model,W07
W07,belongs_to_layer,Stochastic
W07,uses_formula_family,Formula-W
W07,requires_dataset_family,DS-F
W-Series,has_model,W08
W08,belongs_to_layer,Stochastic
W08,uses_formula_family,Formula-W
W08,requires_dataset_family,DS-F
W08,feeds_into,W01
W08,feeds_into,R01
W-Series,has_model,W09
W09,belongs_to_layer,Stochastic
W09,uses_formula_family,Formula-W
W09,requires_dataset_family,DS-F
W-Series,has_model,W10
W10,belongs_to_layer,Stochastic
W10,uses_formula_family,Formula-W
W10,requires_dataset_family,DS-F
W-Series,has_model,W11
W11,belongs_to_layer,Stochastic
W11,uses_formula_family,Formula-W
W11,requires_dataset_family,DS-F
W-Series,has_model,W12
W12,belongs_to_layer,Stochastic
W12,uses_formula_family,Formula-W
W12,requires_dataset_family,DS-F
W-Series,has_model,W13
W13,belongs_to_layer,Stochastic
W13,uses_formula_family,Formula-W
W13,requires_dataset_family,DS-F
W-Series,has_model,W14
W14,belongs_to_layer,Stochastic
W14,uses_formula_family,Formula-W
W14,requires_dataset_family,DS-F
W14,feeds_into,C03
W-Series,has_model,W15
W15,belongs_to_layer,Stochastic
W15,uses_formula_family,Formula-W
W15,requires_dataset_family,DS-F
W-Series,has_model,W16
W16,belongs_to_layer,Stochastic
W16,uses_formula_family,Formula-W
W16,requires_dataset_family,DS-F
W-Series,has_model,W17
W17,belongs_to_layer,Stochastic
W17,uses_formula_family,Formula-W
W17,requires_dataset_family,DS-F
W17,feeds_into,W01
W17,feeds_into,W02
W-Series,has_model,W18
W18,belongs_to_layer,Stochastic
W18,uses_formula_family,Formula-W
W18,requires_dataset_family,DS-F
W-Series,has_model,W19
W19,belongs_to_layer,Stochastic
W19,uses_formula_family,Formula-W
W19,requires_dataset_family,DS-F
W19,feeds_into,C09
W-Series,has_model,W20
W20,belongs_to_layer,Stochastic
W20,uses_formula_family,Formula-W
W20,requires_dataset_family,DS-F
W20,feeds_into,C01
W20,feeds_into,B05
O-Series,has_model,O01
O01,belongs_to_layer,Stochastic
O01,uses_formula_family,Formula-O
O01,requires_dataset_family,DS-O
O01,feeds_into,T01
O01,feeds_into,O08
O01,feeds_into,L01
O01,feeds_into,C01
O01,contributes_rd,C08
O-Series,has_model,O02
O02,belongs_to_layer,Stochastic
O02,uses_formula_family,Formula-O
O02,requires_dataset_family,DS-O
O-Series,has_model,O03
O03,belongs_to_layer,Stochastic
O03,uses_formula_family,Formula-O
O03,requires_dataset_family,DS-O
O03,feeds_into,C10
O03,feeds_into,C01
O-Series,has_model,O04
O04,belongs_to_layer,Stochastic
O04,uses_formula_family,Formula-O
O04,requires_dataset_family,DS-O
O04,feeds_into,T08
O04,feeds_into,L06
O-Series,has_model,O05
O05,belongs_to_layer,Stochastic
O05,uses_formula_family,Formula-O
O05,requires_dataset_family,DS-O
O-Series,has_model,O06
O06,belongs_to_layer,Stochastic
O06,uses_formula_family,Formula-O
O06,requires_dataset_family,DS-O
O-Series,has_model,O07
O07,belongs_to_layer,Stochastic
O07,uses_formula_family,Formula-O
O07,requires_dataset_family,DS-O
O07,feeds_into,B03
O07,feeds_into,B04
O07,feeds_into,B05
O-Series,has_model,O08
O08,belongs_to_layer,Stochastic
O08,uses_formula_family,Formula-O
O08,requires_dataset_family,DS-O
O08,feeds_into,T01
O-Series,has_model,O09
O09,belongs_to_layer,Stochastic
O09,uses_formula_family,Formula-O
O09,requires_dataset_family,DS-O
O-Series,has_model,O10
O10,belongs_to_layer,Stochastic
O10,uses_formula_family,Formula-O
O10,requires_dataset_family,DS-O
O10,feeds_into,L13
O10,feeds_into,C01
O-Series,has_model,O11
O11,belongs_to_layer,Stochastic
O11,uses_formula_family,Formula-O
O11,requires_dataset_family,DS-O
O11,feeds_into,P08
O-Series,has_model,O12
O12,belongs_to_layer,Stochastic
O12,uses_formula_family,Formula-O
O12,requires_dataset_family,DS-O
O-Series,has_model,O13
O13,belongs_to_layer,Stochastic
O13,uses_formula_family,Formula-O
O13,requires_dataset_family,DS-O
O-Series,has_model,O14
O14,belongs_to_layer,Stochastic
O14,uses_formula_family,Formula-O
O14,requires_dataset_family,DS-O
O-Series,has_model,O15
O15,belongs_to_layer,Stochastic
O15,uses_formula_family,Formula-O
O15,requires_dataset_family,DS-O
M-Series,has_model,M01
M01,belongs_to_layer,Stochastic
M01,uses_formula_family,Formula-M
M01,requires_dataset_family,DS-E
M01,requires_dataset_family,DS-P
M01,feeds_into,C01
M01,feeds_into,P01
M01,feeds_into,P05
M01,contributes_rd,C08
M-Series,has_model,M02
M02,belongs_to_layer,Stochastic
M02,uses_formula_family,Formula-M
M02,requires_dataset_family,DS-E
M02,requires_dataset_family,DS-P
M-Series,has_model,M03
M03,belongs_to_layer,Stochastic
M03,uses_formula_family,Formula-M
M03,requires_dataset_family,DS-E
M03,requires_dataset_family,DS-P
M-Series,has_model,M04
M04,belongs_to_layer,Stochastic
M04,uses_formula_family,Formula-M
M04,requires_dataset_family,DS-E
M04,requires_dataset_family,DS-P
M-Series,has_model,M05
M05,belongs_to_layer,Stochastic
M05,uses_formula_family,Formula-M
M05,requires_dataset_family,DS-E
M05,requires_dataset_family,DS-P
M05,feeds_into,O10
M05,feeds_into,C01
M-Series,has_model,M06
M06,belongs_to_layer,Stochastic
M06,uses_formula_family,Formula-M
M06,requires_dataset_family,DS-E
M06,requires_dataset_family,DS-P
M-Series,has_model,M07
M07,belongs_to_layer,Stochastic
M07,uses_formula_family,Formula-M
M07,requires_dataset_family,DS-E
M07,requires_dataset_family,DS-P
M07,feeds_into,P01
M07,feeds_into,G12
M-Series,has_model,M08
M08,belongs_to_layer,Stochastic
M08,uses_formula_family,Formula-M
M08,requires_dataset_family,DS-E
M08,requires_dataset_family,DS-P
M08,feeds_into,C01
M08,feeds_into,K01
M08,feeds_into,K03
M08,contributes_rd,C08
M-Series,has_model,M09
M09,belongs_to_layer,Stochastic
M09,uses_formula_family,Formula-M
M09,requires_dataset_family,DS-E
M09,requires_dataset_family,DS-P
M-Series,has_model,M10
M10,belongs_to_layer,Stochastic
M10,uses_formula_family,Formula-M
M10,requires_dataset_family,DS-E
M10,requires_dataset_family,DS-P
M-Series,has_model,M11
M11,belongs_to_layer,Stochastic
M11,uses_formula_family,Formula-M
M11,requires_dataset_family,DS-E
M11,requires_dataset_family,DS-P
M-Series,has_model,M12
M12,belongs_to_layer,Stochastic
M12,uses_formula_family,Formula-M
M12,requires_dataset_family,DS-E
M12,requires_dataset_family,DS-P
M12,feeds_into,C03
L-Series,has_model,L01
L01,belongs_to_layer,Deterministic
L01,uses_formula_family,Formula-L
L01,requires_dataset_family,DS-E
L-Series,has_model,L02
L02,belongs_to_layer,Deterministic
L02,uses_formula_family,Formula-L
L02,requires_dataset_family,DS-E
L-Series,has_model,L03
L03,belongs_to_layer,Deterministic
L03,uses_formula_family,Formula-L
L03,requires_dataset_family,DS-E
L-Series,has_model,L04
L04,belongs_to_layer,Deterministic
L04,uses_formula_family,Formula-L
L04,requires_dataset_family,DS-E
L-Series,has_model,L05
L05,belongs_to_layer,Deterministic
L05,uses_formula_family,Formula-L
L05,requires_dataset_family,DS-E
L-Series,has_model,L06
L06,belongs_to_layer,Deterministic
L06,uses_formula_family,Formula-L
L06,requires_dataset_family,DS-E
L-Series,has_model,L07
L07,belongs_to_layer,Deterministic
L07,uses_formula_family,Formula-L
L07,requires_dataset_family,DS-E
L-Series,has_model,L08
L08,belongs_to_layer,Deterministic
L08,uses_formula_family,Formula-L
L08,requires_dataset_family,DS-E
L-Series,has_model,L09
L09,belongs_to_layer,Deterministic
L09,uses_formula_family,Formula-L
L09,requires_dataset_family,DS-E
L-Series,has_model,L10
L10,belongs_to_layer,Deterministic
L10,uses_formula_family,Formula-L
L10,requires_dataset_family,DS-E
L-Series,has_model,L11
L11,belongs_to_layer,Deterministic
L11,uses_formula_family,Formula-L
L11,requires_dataset_family,DS-E
L-Series,has_model,L12
L12,belongs_to_layer,Deterministic
L12,uses_formula_family,Formula-L
L12,requires_dataset_family,DS-E
L-Series,has_model,L13
L13,belongs_to_layer,Deterministic
L13,uses_formula_family,Formula-L
L13,requires_dataset_family,DS-E
R-Series,has_model,R01
R01,belongs_to_layer,Deterministic
R01,uses_formula_family,Formula-R
R01,requires_dataset_family,DS-E
R01,requires_dataset_family,DS-F
R01,feeds_into,L01
R01,feeds_into,B01
R01,feeds_into,C01
R01,feeds_into,P01
R01,feeds_into,K01
R01,contributes_rd,C08
R-Series,has_model,R02
R02,belongs_to_layer,Deterministic
R02,uses_formula_family,Formula-R
R02,requires_dataset_family,DS-E
R02,requires_dataset_family,DS-F
R-Series,has_model,R03
R03,belongs_to_layer,Deterministic
R03,uses_formula_family,Formula-R
R03,requires_dataset_family,DS-E
R03,requires_dataset_family,DS-F
R-Series,has_model,R04
R04,belongs_to_layer,Deterministic
R04,uses_formula_family,Formula-R
R04,requires_dataset_family,DS-E
R04,requires_dataset_family,DS-F
R-Series,has_model,R05
R05,belongs_to_layer,Deterministic
R05,uses_formula_family,Formula-R
R05,requires_dataset_family,DS-E
R05,requires_dataset_family,DS-F
R-Series,has_model,R06
R06,belongs_to_layer,Deterministic
R06,uses_formula_family,Formula-R
R06,requires_dataset_family,DS-E
R06,requires_dataset_family,DS-F
R06,feeds_into,K01
R06,feeds_into,G02
R-Series,has_model,R07
R07,belongs_to_layer,Deterministic
R07,uses_formula_family,Formula-R
R07,requires_dataset_family,DS-E
R07,requires_dataset_family,DS-F
R-Series,has_model,R08
R08,belongs_to_layer,Deterministic
R08,uses_formula_family,Formula-R
R08,requires_dataset_family,DS-E
R08,requires_dataset_family,DS-F
R08,feeds_into,G12
R08,feeds_into,P04
R-Series,has_model,R09
R09,belongs_to_layer,Deterministic
R09,uses_formula_family,Formula-R
R09,requires_dataset_family,DS-E
R09,requires_dataset_family,DS-F
R-Series,has_model,R10
R10,belongs_to_layer,Deterministic
R10,uses_formula_family,Formula-R
R10,requires_dataset_family,DS-E
R10,requires_dataset_family,DS-F
T-Series,has_model,T01
T01,belongs_to_layer,Deterministic
T01,uses_formula_family,Formula-T
T01,requires_dataset_family,DS-F
T01,requires_dataset_family,DS-E
T01,feeds_into,C01
T01,feeds_into,T10
T01,feeds_into,T12
T01,feeds_into,O03
T01,contributes_rd,C08
T-Series,has_model,T02
T02,belongs_to_layer,Deterministic
T02,uses_formula_family,Formula-T
T02,requires_dataset_family,DS-F
T02,requires_dataset_family,DS-E
T02,feeds_into,T03
T02,feeds_into,L03
T02,feeds_into,C01
T-Series,has_model,T03
T03,belongs_to_layer,Deterministic
T03,uses_formula_family,Formula-T
T03,requires_dataset_family,DS-F
T03,requires_dataset_family,DS-E
T-Series,has_model,T04
T04,belongs_to_layer,Deterministic
T04,uses_formula_family,Formula-T
T04,requires_dataset_family,DS-F
T04,requires_dataset_family,DS-E
T-Series,has_model,T05
T05,belongs_to_layer,Deterministic
T05,uses_formula_family,Formula-T
T05,requires_dataset_family,DS-F
T05,requires_dataset_family,DS-E
T-Series,has_model,T06
T06,belongs_to_layer,Deterministic
T06,uses_formula_family,Formula-T
T06,requires_dataset_family,DS-F
T06,requires_dataset_family,DS-E
T-Series,has_model,T07
T07,belongs_to_layer,Deterministic
T07,uses_formula_family,Formula-T
T07,requires_dataset_family,DS-F
T07,requires_dataset_family,DS-E
T-Series,has_model,T08
T08,belongs_to_layer,Deterministic
T08,uses_formula_family,Formula-T
T08,requires_dataset_family,DS-F
T08,requires_dataset_family,DS-E
T-Series,has_model,T09
T09,belongs_to_layer,Deterministic
T09,uses_formula_family,Formula-T
T09,requires_dataset_family,DS-F
T09,requires_dataset_family,DS-E
T-Series,has_model,T10
T10,belongs_to_layer,Deterministic
T10,uses_formula_family,Formula-T
T10,requires_dataset_family,DS-F
T10,requires_dataset_family,DS-E
T-Series,has_model,T11
T11,belongs_to_layer,Deterministic
T11,uses_formula_family,Formula-T
T11,requires_dataset_family,DS-F
T11,requires_dataset_family,DS-E
T11,feeds_into,T01
T11,feeds_into,K02
T11,feeds_into,T19
T-Series,has_model,T12
T12,belongs_to_layer,Deterministic
T12,uses_formula_family,Formula-T
T12,requires_dataset_family,DS-F
T12,requires_dataset_family,DS-E
T-Series,has_model,T13
T13,belongs_to_layer,Deterministic
T13,uses_formula_family,Formula-T
T13,requires_dataset_family,DS-F
T13,requires_dataset_family,DS-E
T-Series,has_model,T14
T14,belongs_to_layer,Deterministic
T14,uses_formula_family,Formula-T
T14,requires_dataset_family,DS-F
T14,requires_dataset_family,DS-E
T-Series,has_model,T15
T15,belongs_to_layer,Deterministic
T15,uses_formula_family,Formula-T
T15,requires_dataset_family,DS-F
T15,requires_dataset_family,DS-E
T-Series,has_model,T16
T16,belongs_to_layer,Deterministic
T16,uses_formula_family,Formula-T
T16,requires_dataset_family,DS-F
T16,requires_dataset_family,DS-E
T-Series,has_model,T17
T17,belongs_to_layer,Deterministic
T17,uses_formula_family,Formula-T
T17,requires_dataset_family,DS-F
T17,requires_dataset_family,DS-E
T17,feeds_into,C01
T17,feeds_into,C02
T17,feeds_into,P07
T-Series,has_model,T18
T18,belongs_to_layer,Deterministic
T18,uses_formula_family,Formula-T
T18,requires_dataset_family,DS-F
T18,requires_dataset_family,DS-E
T-Series,has_model,T19
T19,belongs_to_layer,Deterministic
T19,uses_formula_family,Formula-T
T19,requires_dataset_family,DS-F
T19,requires_dataset_family,DS-E
T-Series,has_model,T20
T20,belongs_to_layer,AI_ML
T20,uses_formula_family,Formula-T
T20,requires_dataset_family,DS-F
T20,requires_dataset_family,DS-E
B-Series,has_model,B01
B01,belongs_to_layer,AI_ML
B01,uses_formula_family,Formula-B
B01,requires_dataset_family,DS-E
B01,requires_dataset_family,DS-A
B01,feeds_into,C01
B01,feeds_into,B02
B01,feeds_into,B05
B01,feeds_into,P01
B01,contributes_rd,C08
B-Series,has_model,B02
B02,belongs_to_layer,AI_ML
B02,uses_formula_family,Formula-B
B02,requires_dataset_family,DS-E
B02,requires_dataset_family,DS-A
B02,feeds_into,B01
B02,feeds_into,K04
B-Series,has_model,B03
B03,belongs_to_layer,AI_ML
B03,uses_formula_family,Formula-B
B03,requires_dataset_family,DS-E
B03,requires_dataset_family,DS-A
B-Series,has_model,B04
B04,belongs_to_layer,AI_ML
B04,uses_formula_family,Formula-B
B04,requires_dataset_family,DS-E
B04,requires_dataset_family,DS-A
B-Series,has_model,B05
B05,belongs_to_layer,AI_ML
B05,uses_formula_family,Formula-B
B05,requires_dataset_family,DS-E
B05,requires_dataset_family,DS-A
B05,feeds_into,C01
B05,feeds_into,B07
B-Series,has_model,B06
B06,belongs_to_layer,AI_ML
B06,uses_formula_family,Formula-B
B06,requires_dataset_family,DS-E
B06,requires_dataset_family,DS-A
B-Series,has_model,B07
B07,belongs_to_layer,AI_ML
B07,uses_formula_family,Formula-B
B07,requires_dataset_family,DS-E
B07,requires_dataset_family,DS-A
B-Series,has_model,B08
B08,belongs_to_layer,AI_ML
B08,uses_formula_family,Formula-B
B08,requires_dataset_family,DS-E
B08,requires_dataset_family,DS-A
B-Series,has_model,B09
B09,belongs_to_layer,AI_ML
B09,uses_formula_family,Formula-B
B09,requires_dataset_family,DS-E
B09,requires_dataset_family,DS-A
B-Series,has_model,B10
B10,belongs_to_layer,AI_ML
B10,uses_formula_family,Formula-B
B10,requires_dataset_family,DS-E
B10,requires_dataset_family,DS-A
G-Series,has_model,G01
G01,belongs_to_layer,Deterministic
G01,uses_formula_family,Formula-G
G01,requires_dataset_family,DS-A
G01,requires_dataset_family,DS-E
G01,feeds_into,C01
G01,feeds_into,G04
G01,feeds_into,G06
G-Series,has_model,G02
G02,belongs_to_layer,Deterministic
G02,uses_formula_family,Formula-G
G02,requires_dataset_family,DS-A
G02,requires_dataset_family,DS-E
G-Series,has_model,G03
G03,belongs_to_layer,Deterministic
G03,uses_formula_family,Formula-G
G03,requires_dataset_family,DS-A
G03,requires_dataset_family,DS-E
G-Series,has_model,G04
G04,belongs_to_layer,Deterministic
G04,uses_formula_family,Formula-G
G04,requires_dataset_family,DS-A
G04,requires_dataset_family,DS-E
G-Series,has_model,G05
G05,belongs_to_layer,Deterministic
G05,uses_formula_family,Formula-G
G05,requires_dataset_family,DS-A
G05,requires_dataset_family,DS-E
G-Series,has_model,G06
G06,belongs_to_layer,Deterministic
G06,uses_formula_family,Formula-G
G06,requires_dataset_family,DS-A
G06,requires_dataset_family,DS-E
G-Series,has_model,G07
G07,belongs_to_layer,Deterministic
G07,uses_formula_family,Formula-G
G07,requires_dataset_family,DS-A
G07,requires_dataset_family,DS-E
G07,feeds_into,C09
G07,feeds_into,G08
G-Series,has_model,G08
G08,belongs_to_layer,Deterministic
G08,uses_formula_family,Formula-G
G08,requires_dataset_family,DS-A
G08,requires_dataset_family,DS-E
G08,feeds_into,C09
G-Series,has_model,G09
G09,belongs_to_layer,Deterministic
G09,uses_formula_family,Formula-G
G09,requires_dataset_family,DS-A
G09,requires_dataset_family,DS-E
G09,feeds_into,C09
G-Series,has_model,G10
G10,belongs_to_layer,Deterministic
G10,uses_formula_family,Formula-G
G10,requires_dataset_family,DS-A
G10,requires_dataset_family,DS-E
G-Series,has_model,G11
G11,belongs_to_layer,Deterministic
G11,uses_formula_family,Formula-G
G11,requires_dataset_family,DS-A
G11,requires_dataset_family,DS-E
G-Series,has_model,G12
G12,belongs_to_layer,Deterministic
G12,uses_formula_family,Formula-G
G12,requires_dataset_family,DS-A
G12,requires_dataset_family,DS-E
G12,feeds_into,P06
G12,feeds_into,P07
G12,feeds_into,G03
C-Series,has_model,C01
C01,belongs_to_layer,RL_Q_Learning
C01,uses_formula_family,Formula-C
C01,requires_dataset_family,DS-A
C01,requires_dataset_family,DS-P
C01,feeds_into,B01
C01,feeds_into,T01
C01,feeds_into,P01
C01,feeds_into,C08
C-Series,has_model,C02
C02,belongs_to_layer,RL_Q_Learning
C02,uses_formula_family,Formula-C
C02,requires_dataset_family,DS-A
C02,requires_dataset_family,DS-P
C-Series,has_model,C03
C03,belongs_to_layer,RL_Q_Learning
C03,uses_formula_family,Formula-C
C03,requires_dataset_family,DS-A
C03,requires_dataset_family,DS-P
C03,feeds_into,C01
C-Series,has_model,C04
C04,belongs_to_layer,RL_Q_Learning
C04,uses_formula_family,Formula-C
C04,requires_dataset_family,DS-A
C04,requires_dataset_family,DS-P
C-Series,has_model,C05
C05,belongs_to_layer,RL_Q_Learning
C05,uses_formula_family,Formula-C
C05,requires_dataset_family,DS-A
C05,requires_dataset_family,DS-P
C-Series,has_model,C06
C06,belongs_to_layer,RL_Q_Learning
C06,uses_formula_family,Formula-C
C06,requires_dataset_family,DS-A
C06,requires_dataset_family,DS-P
C-Series,has_model,C07
C07,belongs_to_layer,RL_Q_Learning
C07,uses_formula_family,Formula-C
C07,requires_dataset_family,DS-A
C07,requires_dataset_family,DS-P
C-Series,has_model,C08
C08,belongs_to_layer,RL_Q_Learning
C08,uses_formula_family,Formula-C
C08,requires_dataset_family,DS-A
C08,requires_dataset_family,DS-P
C08,feeds_into,C05
C08,feeds_into,C09
C08,feeds_into,C10
C08,feeds_into,P07
C08,implements_rd,RD-Map
C-Series,has_model,C09
C09,belongs_to_layer,RL_Q_Learning
C09,uses_formula_family,Formula-C
C09,requires_dataset_family,DS-A
C09,requires_dataset_family,DS-P
C09,feeds_into,C01
C09,implements_rd,RD-Map
C-Series,has_model,C10
C10,belongs_to_layer,RL_Q_Learning
C10,uses_formula_family,Formula-C
C10,requires_dataset_family,DS-A
C10,requires_dataset_family,DS-P
C10,feeds_into,T01
C10,feeds_into,B01
C10,implements_rd,RD-Map
D-Series,has_model,D01
D01,belongs_to_layer,AI_ML
D01,uses_formula_family,Formula-D
D01,requires_dataset_family,DS-F
D01,requires_dataset_family,DS-E
D01,requires_dataset_family,DS-O
D01,requires_dataset_family,DS-A
D01,feeds_into,W01
D01,feeds_into,W02
D01,feeds_into,W03
D01,feeds_into,W04
D01,feeds_into,W05
D-Series,has_model,D02
D02,belongs_to_layer,AI_ML
D02,uses_formula_family,Formula-D
D02,requires_dataset_family,DS-F
D02,requires_dataset_family,DS-E
D02,requires_dataset_family,DS-O
D02,requires_dataset_family,DS-A
D-Series,has_model,D03
D03,belongs_to_layer,AI_ML
D03,uses_formula_family,Formula-D
D03,requires_dataset_family,DS-F
D03,requires_dataset_family,DS-E
D03,requires_dataset_family,DS-O
D03,requires_dataset_family,DS-A
D-Series,has_model,D04
D04,belongs_to_layer,AI_ML
D04,uses_formula_family,Formula-D
D04,requires_dataset_family,DS-F
D04,requires_dataset_family,DS-E
D04,requires_dataset_family,DS-O
D04,requires_dataset_family,DS-A
D-Series,has_model,D05
D05,belongs_to_layer,AI_ML
D05,uses_formula_family,Formula-D
D05,requires_dataset_family,DS-F
D05,requires_dataset_family,DS-E
D05,requires_dataset_family,DS-O
D05,requires_dataset_family,DS-A
D-Series,has_model,D06
D06,belongs_to_layer,AI_ML
D06,uses_formula_family,Formula-D
D06,requires_dataset_family,DS-F
D06,requires_dataset_family,DS-E
D06,requires_dataset_family,DS-O
D06,requires_dataset_family,DS-A
D-Series,has_model,D07
D07,belongs_to_layer,AI_ML
D07,uses_formula_family,Formula-D
D07,requires_dataset_family,DS-F
D07,requires_dataset_family,DS-E
D07,requires_dataset_family,DS-O
D07,requires_dataset_family,DS-A
D-Series,has_model,D08
D08,belongs_to_layer,AI_ML
D08,uses_formula_family,Formula-D
D08,requires_dataset_family,DS-F
D08,requires_dataset_family,DS-E
D08,requires_dataset_family,DS-O
D08,requires_dataset_family,DS-A
D08,feeds_into,F01
D08,feeds_into,F02
P-Series,has_model,P01
P01,belongs_to_layer,RL_Q_Learning
P01,uses_formula_family,Formula-P
P01,requires_dataset_family,DS-P
P01,requires_dataset_family,DS-E
P01,feeds_into,P05
P01,feeds_into,P08
P-Series,has_model,P02
P02,belongs_to_layer,RL_Q_Learning
P02,uses_formula_family,Formula-P
P02,requires_dataset_family,DS-P
P02,requires_dataset_family,DS-E
P-Series,has_model,P03
